TA_ID,Name,Domain,Purpose,Input,Output,Trigger,CLI_File
TA-014,Output Assertion Validator,VAL,Validates assistant output against structural and semantic rules before it logs or mutates memory.,"assistant_output, expected_schema, banned_patterns","pass/fail flag, error report if failed","Post-response, pre-logging or pre-memory-update",ta014_output_assertion.sh
TA-015,Preflight Commit Checker,OPS,"Runs instruction diff, schema check, and changelog verification before assistant logic is committed.","target_instruction.md, baseline_instruction.md","diff_report.md, changelog_verification_status",Pre-commit or pre-deploy,ta015_preflight_checker.sh
TA-016,Auto-Changelog Generator,OPS,Auto-generates changelog entries based on diff between instruction versions.,"old_version.md, new_version.md",changelog_entry.md,Version change detected,ta016_changelog_generator.sh
TA-017,Instruction Drift Sentinel,VAL,Watches output for behavioral changes and flags if drift is detected against previous output baseline.,"current_output.txt, historical_outputs/","drift_score, diff_summary",After assistant run,ta017_drift_sentinel.sh
TA-018,Tool Invocation Logger,LOG,"Logs every external tool call (function, plugin, API) for auditing and traceability.","tool_name, input_args, response_payload",tool_log.json,Every time a tool is used,ta018_tool_logger.sh
TA-019,Memory Access Auditor,LOG,"Tracks what memory keys are accessed, when, and by which assistant for traceability and debugging.","assistant_id, memory_keys_accessed",memory_access_log.json,During memory read phase,ta019_memory_auditor.sh
TA-020,Permission-Safe Memory Injector,SEC,Prevents unauthorized memory keys from being injected by verifying assistant roles against access rules.,"assistant_id, memory_key, access_rules.json",allowed/blocked status + reason,Before memory injection,ta020_memory_permission_checker.sh
TA-021,Response Schema Validator,VAL,Checks whether assistant outputs match a predefined JSON schema before use.,"assistant_output.json, schema_definition.json","validation_pass/fail, list_of_errors",Post-assistant response,ta021_schema_validator.sh
TA-022,Token Budget Enforcer,VAL,Enforces max token usage on output and prevents overlength responses.,"assistant_output.txt, token_limit","status, token_count","After response, before logging",ta022_token_enforcer.sh
TA-023,Redaction Filter,VAL,"Removes or redacts sensitive fields (PII, email, salary) before logging or memory write.","assistant_output.txt, redaction_rules.json",redacted_output.txt,Before log/memory update,ta023_redactor.sh
